impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-110152,A562763,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886183,LOST,Luna,Cat,,,European Shorthair,Unknown,07/01/2018 12:00:00 AM,Date Lost,10700 SE 293RD ST,AUBURN,WA,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886183,Image Copyright HLP Inc. 2018,,
K18-108925,A559341,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871043,LOST,Sammi,Dog,,Female,Miniature Poodle,Unknown,06/03/2018 12:00:00 AM,Date Lost,24200 SE 11TH PL,SAMMAMISH,WA,98075,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871043,Image Copyright HLP Inc. 2018,,
K18-108816,A559165,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1870038,LOST,Scout/peache,Cat,,Female,Domestic Shorthair,Unknown,05/31/2018 12:00:00 AM,Date Lost,15400 SE 251ST ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1870038,Image Copyright HLP Inc. 2018,,
K18-108950,A559441,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871379,LOST,Pablo,Cat,,Male,Domestic Shorthair,Unknown,06/01/2018 12:00:00 AM,Date Lost,1100 NE HICKORY LN,ISSAQUAH,WA,98029,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871379,Image Copyright HLP Inc. 2018,,
K18-110192,A562952,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886711,LOST,Coco,Dog,,Male,Shih Tzu,Unknown,07/10/2018 12:00:00 AM,Date Lost,14400 88TH AVE NE,KIRKLAND,WA,98034,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886711,Image Copyright HLP Inc. 2018,,
K18-108938,A559353,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871173,LOST,Jj,Cat,,Female,Domestic Longhair,Unknown,05/31/2018 12:00:00 AM,Date Lost,29TH ST DOWNTOWN TACOMA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871173,Image Copyright HLP Inc. 2018,,
K18-109809,A561811,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1880887,In Public Home,,Cat,,Male,Domestic Mediumhair,Brown / Black,06/16/2018 12:00:00 AM,Date Found,4900 LAKEMONT BLVD SE,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1880887,Image Copyright HLP Inc. 2018,,
K18-110096,A562603,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1885652,LOST,Jamie,Cat,,Female,Domestic Shorthair,Unknown,07/07/2018 12:00:00 AM,Date Lost,3400 W AMES LAKE DR NE,REDMOND,WA,98053,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1885652,Image Copyright HLP Inc. 2018,,
K18-108936,A559352,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871154,LOST,Bunbun,Rabbit,,Male,Rabbit,Unknown,06/02/2018 12:00:00 AM,Date Lost,25700 LAWSON ST,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871154,Image Copyright HLP Inc. 2018,,
K18-109338,A560389,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875413,LOST,Bento,Dog,,Female,Shiba Inu,Unknown,06/14/2018 12:00:00 AM,Date Lost,17700 NE 90TH ST,APT,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875413,Image Copyright HLP Inc. 2018,,
K18-109541,A560955,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1878007,LOST,Sawyer,Cat,,Male,Domestic Mediumhair,Unknown,06/12/2018 12:00:00 AM,Date Lost,CEDAR FALLS WAY AND 436TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1878007,Image Copyright HLP Inc. 2018,,
K18-108979,A559512,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871770,LOST,Dude,Dog,,Male,Labrador Retriever,Unknown,06/04/2018 12:00:00 AM,Date Lost,1900 FERRY AVE SW,SEATTLE,WA,98116,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871770,Image Copyright HLP Inc. 2018,,
K18-109678,A561354,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1879375,LOST,Cloud,Cat,,Male,Domestic Shorthair,Unknown,06/20/2018 12:00:00 AM,Date Lost,47TH AVENUE S & S 182ND ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1879375,Image Copyright HLP Inc. 2018,,
K18-109574,A561041,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1878300,LOST,Scarlet,Cat,,Female,Domestic Mediumhair,Unknown,06/20/2018 12:00:00 AM,Date Lost,14900 SE 272ND ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1878300,Image Copyright HLP Inc. 2018,,
K18-108838,A559217,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1870174,LOST,Gigi,Dog,,Female,French Bulldog,Unknown,05/31/2018 12:00:00 AM,Date Lost,131ST AVE SE & SE 49TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1870174,Image Copyright HLP Inc. 2018,,
K18-110070,A562473,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1885140,LOST,Bowie,Dog,,Female,Shih Tzu,Unknown,07/07/2018 12:00:00 AM,Date Lost,14200 SE 272ND ST,KENT,WA,98042,KENT,47.357582,-122.153963,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1885140,Image Copyright HLP Inc. 2018,,
K18-108841,A559218,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1870273,LOST,Alice,Dog,,Female,Rhodesian Ridgeback,Unknown,05/31/2018 12:00:00 AM,Date Lost,135TH AVENUE SE & SE 272ND CT,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1870273,Image Copyright HLP Inc. 2018,,
K18-108944,A559357,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871223,LOST,Jackson,Cat,,Male,Domestic Mediumhair,Unknown,06/03/2018 12:00:00 AM,Date Lost,13800 SE 5 ST,SE 5 ST & 140 A,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871223,Image Copyright HLP Inc. 2018,,
K18-109099,A559827,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1872992,LOST,Julio,Dog,,Male,Standard Poodle,Unknown,06/08/2018 12:00:00 AM,Date Lost,5135 1/2 S HAZEL ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1872992,Image Copyright HLP Inc. 2018,,
K18-109452,A560631,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1876817,LOST,Botas,Cat,,Male,Turkish Van,Unknown,06/07/2018 12:00:00 AM,Date Lost,6800 S 133RD ST,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1876817,Image Copyright HLP Inc. 2018,,
K18-108956,A559446,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871494,LOST,Boots,Cat,,Female,Domestic Shorthair,Unknown,06/03/2018 12:00:00 AM,Date Lost,5000 117TH AVE SE,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871494,Image Copyright HLP Inc. 2018,,
K18-109834,A561858,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1881163,LOST,Sweetie,Cat,,Female,American Shorthair,Unknown,06/14/2018 12:00:00 AM,Date Lost,16100 SE 45TH PL,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1881163,Image Copyright HLP Inc. 2018,,
K18-109453,A560632,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1876865,LOST,Mosley,Cat,,Male,Domestic Shorthair,Unknown,06/10/2018 12:00:00 AM,Date Lost,S 261ST AND W VALLEY HWY S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1876865,Image Copyright HLP Inc. 2018,,
K18-108987,A559534,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871874,In Public Home,,Bird,,,Domestic,Brown,06/04/2018 12:00:00 AM,Date Found,15900 4TH AVE S,BURIEN,WA,98148,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871874,Image Copyright HLP Inc. 2018,,
K18-109788,A561739,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1880600,In Public Home,,Dog,,Male,Dachshund - Long-Haired,Unknown,06/28/2018 12:00:00 AM,Date Found,PETROVINSKY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1880600,Image Copyright HLP Inc. 2018,,
K18-109963,A562166,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1882715,LOST,Loopa,Cat,,Male,American Shorthair,Unknown,06/15/2018 12:00:00 AM,Date Lost,19700 78TH AVE NE,KENMORE,WA,98028,KENMORE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1882715,Image Copyright HLP Inc. 2018,,
K18-109943,A562118,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1882529,LOST,Kundlaan,Dog,,Female,Alaskan Husky,Unknown,07/03/2018 12:00:00 AM,Date Lost,8300 39TH AVE S,SEATTLE,WA,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1882529,Image Copyright HLP Inc. 2018,,
K18-110011,A562325,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1883887,LOST,Emma-Lynn,Dog,,Female,Shih Tzu,Unknown,07/04/2018 12:00:00 AM,Date Lost,JONES ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1883887,Image Copyright HLP Inc. 2018,,
K18-109002,A559596,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1872188,LOST,Ally,Dog,,Female,Chihuahua - Smooth Coated,Unknown,06/06/2018 12:00:00 AM,Date Lost,161ST AVENUE SE & SE NEWPORT WAY,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1872188,Image Copyright HLP Inc. 2018,,
K18-109972,A562176,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1882804,In Public Home,,Dog,,Female,Flat Coat Retriever,Black,07/03/2018 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1882804,Image Copyright HLP Inc. 2018,,
K18-109732,A561500,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1879906,LOST,Rosco,Dog,,Male,Dachshund - Long-Haired,Unknown,06/24/2018 12:00:00 AM,Date Lost,18300 SE 284TH ST,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1879906,Image Copyright HLP Inc. 2018,,
K18-109154,A559883,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1873528,LOST,Oliver,Cat,,Male,American Shorthair,Unknown,06/08/2018 12:00:00 AM,Date Lost,1100 KIRKLAND AVE,KIRKLAND,WA,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1873528,Image Copyright HLP Inc. 2018,,
K18-110179,A562799,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886418,LOST,Zorro,Cat,,Male,Domestic Mediumhair,Unknown,07/08/2018 12:00:00 AM,Date Lost,10600 SE 252ND ST,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886418,Image Copyright HLP Inc. 2018,,
K18-110202,A562968,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886835,In Public Home,,Cat,,Female,Siamese,White / Unknown,07/08/2018 12:00:00 AM,Date Found,140TH AVE SE & SE 6TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886835,Image Copyright HLP Inc. 2018,,
K18-109441,A560615,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1876676,In Public Home,,Dog,,,Havanese,Blue / Gray,06/18/2018 12:00:00 AM,Date Found,7400 SE 29TH ST,MERCER ISLAND,WA,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1876676,Image Copyright HLP Inc. 2018,,
K18-109996,A562286,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1883730,LOST,Axle,Dog,,Male,German Shepherd,Unknown,07/05/2018 12:00:00 AM,Date Lost,14900 444TH AVE SE,NORTH BEND,WA,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1883730,Image Copyright HLP Inc. 2018,,
K18-109489,A560703,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1877231,LOST,Ryder,Dog,,Male,Vizsla,Unknown,06/19/2018 12:00:00 AM,Date Lost,127TH AVE NE AND HOLLYHILLS DRIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1877231,Image Copyright HLP Inc. 2018,,
K18-109350,A560464,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875606,LOST,Riko,Cat,,Male,Domestic Shorthair,Unknown,06/12/2018 12:00:00 AM,Date Lost,400 KALMIA PL NW,ISSAQUAH,WA,98027,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875606,Image Copyright HLP Inc. 2018,,
K18-109328,A560354,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875267,LOST,Gracie,Dog,,Female,Miniature Poodle,Unknown,06/14/2018 12:00:00 AM,Date Lost,300 STRANDER BLVD,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875267,Image Copyright HLP Inc. 2018,,
K18-109515,A560834,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1877626,LOST,Ollie,Dog,,Male,Yorkshire Terrier,Unknown,06/20/2018 12:00:00 AM,Date Lost,4600 121ST AVE SE,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1877626,Image Copyright HLP Inc. 2018,,
K18-110098,A562638,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1885696,LOST,Baxter,Cat,,Male,Maine Coon,Unknown,07/06/2018 12:00:00 AM,Date Lost,00 ETRURIA ST,SEATTLE,WA,98109,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1885696,Image Copyright HLP Inc. 2018,,
K18-109779,A561713,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1880496,LOST,Trixie,Dog,,Female,Chihuahua - Smooth Coated,Unknown,06/26/2018 12:00:00 AM,Date Lost,32700 19TH PL S,FEDERAL WAY,WA,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1880496,Image Copyright HLP Inc. 2018,,
K18-109326,A560352,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875262,LOST,Murchik,Cat,,Male,Domestic Shorthair,Unknown,06/12/2018 12:00:00 AM,Date Lost,22600 153RD PL SE,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875262,Image Copyright HLP Inc. 2018,,
K18-109835,A561859,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1881174,LOST,Irmik,Cat,,Male,Bengal,Unknown,06/25/2018 12:00:00 AM,Date Lost,EDGEWOOD PARK APARTMENTS #F3,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1881174,Image Copyright HLP Inc. 2018,,
K18-110054,A562447,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1884616,LOST,Jazzebelle,Cat,,Female,Domestic Shorthair,Unknown,07/04/2018 12:00:00 AM,Date Lost,240TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1884616,Image Copyright HLP Inc. 2018,,
K18-109424,A560533,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1876450,LOST,Jaager,Cat,,Female,Siamese,Unknown,06/05/2018 12:00:00 AM,Date Lost,37TH AVE SW & SW 332ND PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1876450,Image Copyright HLP Inc. 2018,,
K18-110089,A562493,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1885489,In Public Home,,Dog,,Male,Chihuahua - Smooth Coated,White / Brown,07/06/2018 12:00:00 AM,Date Found,23RD AVE S AND 243RD ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1885489,Image Copyright HLP Inc. 2018,,
K18-110039,A562414,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1884348,LOST,Doomy,Cat,,Female,Domestic Longhair,Unknown,06/30/2018 12:00:00 AM,Date Lost,19000 SE 270TH ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1884348,Image Copyright HLP Inc. 2018,,
K18-109733,A561501,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1879968,LOST,Lucky,Cat,,Female,American Shorthair,Unknown,06/17/2018 12:00:00 AM,Date Lost,SAME AS HOME ADDRESS,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1879968,Image Copyright HLP Inc. 2018,,
K18-109176,A559905,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1873865,LOST,Pippin,Cat,,Male,Norwegian Forest Cat,Unknown,06/07/2018 12:00:00 AM,Date Lost,SW 356TH STREET & 18TH AVENUE SW,FEDERAL WAY,WA,98023,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1873865,Image Copyright HLP Inc. 2018,,
K18-109810,A561812,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1880900,LOST,Baby Kitty,Cat,,Female,Domestic Shorthair,Unknown,06/28/2018 12:00:00 AM,Date Lost,1400 S PUGET DR,RENTON,WA,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1880900,Image Copyright HLP Inc. 2018,,
K18-110198,A562964,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886752,LOST,Teka,Cat,,Female,Domestic Mediumhair,Unknown,06/16/2018 12:00:00 AM,Date Lost,14200 SE 177TH ST,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886752,Image Copyright HLP Inc. 2018,,
K18-109900,A561937,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1881982,LOST,Squeak,Cat,,Male,Maine Coon,Unknown,07/01/2018 12:00:00 AM,Date Lost,6000 39TH AVE NE,SEATTLE,WA,98115,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1881982,Image Copyright HLP Inc. 2018,,
K18-109349,A560463,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875604,LOST,Boris,Cat,,Male,Domestic Longhair,Unknown,06/12/2018 12:00:00 AM,Date Lost,ISLAND DR. S,S CLOVERDA,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875604,Image Copyright HLP Inc. 2018,,
K18-109156,A559886,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1873558,LOST,Mr. Tumnus,Cat,,Male,American Shorthair,Unknown,06/10/2018 12:00:00 AM,Date Lost,15100 SE 46TH WAY,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1873558,Image Copyright HLP Inc. 2018,,
K18-109383,A560489,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875915,LOST,Cookie,Dog,,Female,Pomeranian,Unknown,06/14/2018 12:00:00 AM,Date Lost,405 SB AT 6TH AVE ON FREEWAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875915,Image Copyright HLP Inc. 2018,,
K18-109134,A559872,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1873311,In Public Home,,Cat,,Male,Domestic Shorthair,Brown / White,06/07/2018 12:00:00 AM,Date Found,12500 SE 278TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1873311,Image Copyright HLP Inc. 2018,,
